"from","to","sessionid","state","year","upper"
"Robert Lynn","Jay Ramras","AKL10","AK","10","L"
"Robert Lynn","Nancy Dahlstrom","AKL10","AK","10","L"
"Robert Lynn","Leslie Gara","AKL10","AK","10","L"
"Robert Lynn","John Harris","AKL10","AK","10","L"
"Robert Lynn","Chris Tuck","AKL10","AK","10","L"
"Robert Lynn","Mark Neuman","AKL10","AK","10","L"
"Robert Lynn","Reginald Joule","AKL10","AK","10","L"
"Robert Lynn","Robert Buch","AKL10","AK","10","L"
"Robert Lynn","Harry Crawford","AKL10","AK","10","L"
"Robert Lynn","Max Gruenberg","AKL10","AK","10","L"
"Robert Lynn","Alberta Gardner","AKL10","AK","10","L"
"Robert Lynn","Neal Foster","AKL10","AK","10","L"
"Robert Lynn","Bob Herron","AKL10","AK","10","L"
"Robert Lynn","David Guttenberg","AKL10","AK","10","L"
"Robert Lynn","Charles Chenault","AKL10","AK","10","L"
"Robert Lynn","Michael Doogan","AKL10","AK","10","L"
"Robert Lynn","James Petersen","AKL10","AK","10","L"
"Robert Lynn","Scott Kawasaki","AKL10","AK","10","L"
"Cathy Munoz","Robert Lynn","AKL10","AK","10","L"
"Cathy Munoz","Jay Ramras","AKL10","AK","10","L"
"Cathy Munoz","Craig Johnson","AKL10","AK","10","L"
"Cathy Munoz","Leslie Gara","AKL10","AK","10","L"
"Cathy Munoz","Peggy Wilson","AKL10","AK","10","L"
"Cathy Munoz","William Thomas","AKL10","AK","10","L"
"Cathy Munoz","Chris Tuck","AKL10","AK","10","L"
"Cathy Munoz","Alan Austerman","AKL10","AK","10","L"
"Cathy Munoz","Reginald Joule","AKL10","AK","10","L"
"Cathy Munoz","Robert Buch","AKL10","AK","10","L"
"Cathy Munoz","Bryce Edgmon","AKL10","AK","10","L"
"Cathy Munoz","Kyle Johansen","AKL10","AK","10","L"
"Cathy Munoz","Beth Kerttula","AKL10","AK","10","L"
"Cathy Munoz","Paul Seaton","AKL10","AK","10","L"
"Cathy Munoz","Richard Foster","AKL10","AK","10","L"
"Jay Ramras","Robert Lynn","AKL10","AK","10","L"
"Jay Ramras","Craig Johnson","AKL10","AK","10","L"
"Jay Ramras","Peggy Wilson","AKL10","AK","10","L"
"Jay Ramras","Bill Stoltze","AKL10","AK","10","L"
"Jay Ramras","Chris Tuck","AKL10","AK","10","L"
"Jay Ramras","Carl Gatto","AKL10","AK","10","L"
"Jay Ramras","Alan Austerman","AKL10","AK","10","L"
"Jay Ramras","Michael Hawker","AKL10","AK","10","L"
"Jay Ramras","Max Gruenberg","AKL10","AK","10","L"
"Jay Ramras","Michael Kelly","AKL10","AK","10","L"
"Jay Ramras","Charisse Millett","AKL10","AK","10","L"
"Jay Ramras","Beth Kerttula","AKL10","AK","10","L"
"Jay Ramras","Kurt Olson","AKL10","AK","10","L"
"Jay Ramras","James Petersen","AKL10","AK","10","L"
"Nancy Dahlstrom","Robert Lynn","AKL10","AK","10","L"
"Nancy Dahlstrom","Cathy Munoz","AKL10","AK","10","L"
"Nancy Dahlstrom","John Harris","AKL10","AK","10","L"
"Nancy Dahlstrom","Carl Gatto","AKL10","AK","10","L"
"Nancy Dahlstrom","Michael Hawker","AKL10","AK","10","L"
"Nancy Dahlstrom","Robert Buch","AKL10","AK","10","L"
"Nancy Dahlstrom","Anna Fairclough MacKinnon","AKL10","AK","10","L"
"Nancy Dahlstrom","Lindsey Holmes","AKL10","AK","10","L"
"Nancy Dahlstrom","Charles Chenault","AKL10","AK","10","L"
"Nancy Dahlstrom","Beth Kerttula","AKL10","AK","10","L"
"Craig Johnson","Robert Lynn","AKL10","AK","10","L"
"Craig Johnson","Jay Ramras","AKL10","AK","10","L"
"Craig Johnson","Nancy Dahlstrom","AKL10","AK","10","L"
"Craig Johnson","Peggy Wilson","AKL10","AK","10","L"
"Craig Johnson","Mark Neuman","AKL10","AK","10","L"
"Craig Johnson","Max Gruenberg","AKL10","AK","10","L"
"Craig Johnson","Michael Kelly","AKL10","AK","10","L"
"Craig Johnson","Wes Keller","AKL10","AK","10","L"
"Craig Johnson","Charisse Millett","AKL10","AK","10","L"
"Leslie Gara","Robert Lynn","AKL10","AK","10","L"
"Leslie Gara","Nancy Dahlstrom","AKL10","AK","10","L"
"Leslie Gara","John Harris","AKL10","AK","10","L"
"Leslie Gara","Mark Neuman","AKL10","AK","10","L"
"Leslie Gara","Max Gruenberg","AKL10","AK","10","L"
"Leslie Gara","Alberta Gardner","AKL10","AK","10","L"
"Leslie Gara","Charisse Millett","AKL10","AK","10","L"
