"name","tenure","party","race","gender","politicalexperience","district","appointed","propvote","cmtchair","partyleader","chambermed","newscore","year","upper","outdegree","indegree","state","limits","squire","majority","republican","democrat","nonwhite","female","ideodistchamber","nwomen","nleg","npoc","nmaj","propwomen","proppoc","propmaj","propmin","majp","maj","maj_sd","st","h_chamber_sd","s_chamber_sd","introlimit","partybal","h_dem_sd_avg","s_dem_sd_avg","h_rep_sd_avg","s_rep_sd_avg","house","h_rep_sd","s_rep_sd","h_dem_sd","s_dem_sd","hou_dem_median","hou_rep_median","sen_dem_median","sen_rep_median","h_rep_med","s_rep_med","h_dem_med","s_dem_med","sessionid","lower","yearshort","partycolors","yearlong"
"Alan Austerman",16,"R","white","male",0,"36",0,0.536363636,0,1,0.4365,0.56,10,"L",5,7,"AK",0,0.296,1,1,0,0,0,0.1235,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Robert Buch",4,"D","white","male",0,"27",0,0.50793238,0,0,0.4365,-0.698,10,"L",3,7,"AK",0,0.296,0,0,1,0,0,1.1345,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Charles Chenault",10,"R","white","male",0,"34",0,0.726984127,0,1,0.4365,0.872,10,"L",2,4,"AK",0,0.296,1,1,0,0,0,0.4355,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Sharon Cissna",12,"D","white","female",1,"22",0,0.608247423,0,0,0.4365,-0.879,10,"L",0,2,"AK",0,0.296,0,0,1,0,1,1.3155,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Harry Crawford",10,"D","white","male",0,"21",0,0.589951789,0,0,0.4365,-0.708,10,"L",7,6,"AK",0,0.296,0,0,1,0,0,1.1445,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Nancy Dahlstrom",7,"R","white","female",0,"18",1,1,0,0,0.4365,0.469,10,"L",10,5,"AK",0,0.296,1,1,0,0,1,0.0325,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Michael Doogan",4,"D","white","male",0,"25",0,0.705265096,0,0,0.4365,-0.662,10,"L",1,4,"AK",0,0.296,0,0,1,0,0,1.0985,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Bryce Edgmon",4,"D","native","male",1,"37",0,0.62342216,0,0,0.4365,-0.021,10,"L",6,2,"AK",0,0.296,0,0,1,1,0,0.4575,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Anna Fairclough MacKinnon",4,"R","white","female",1,"17",0,0.803680263,0,0,0.4365,0.86,10,"L",4,2,"AK",0,0.296,1,1,0,0,1,0.4235,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Neal Foster",1,"D","native","male",0,"39",1,1,0,0,0.4365,0.029,10,"L",2,4,"AK",0,0.296,0,0,1,1,0,0.4075,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
